,Author Name,Min CoAuthors,max CoAuthors,Average no of CoAuthors,Median CoAuthors
417,a. lyman chapin,1,2,1.5,1.5
418,a. lynn abbott,2,2,2.0,2.0
419,a. m. a. hariri,2,2,2.0,2.0
420,a. m. ai-fahed,2,2,2.0,2.0
421,a. m. akimenkov,1,1,1.0,1.0
422,a. m. chemali,4,4,4.0,4.0
423,a. m. christie,1,1,1.0,1.0
424,a. m. clarke,2,2,2.0,2.0
425,a. m. day,1,1,1.0,1.0
426,a. m. dighe,1,1,1.0,1.0
427,a. m. dixon,3,3,3.0,3.0
428,a. m. eroshkin,3,3,3.0,3.0
429,a. m. fink,1,1,1.0,1.0
430,a. m. finn,3,3,3.0,3.0
431,a. m. groenewald,3,3,3.0,3.0
432,a. m. gusenkov,4,4,4.0,4.0
433,a. m. h. gerards,1,1,1.0,1.0
434,a. m. higginson,4,4,4.0,4.0
435,a. m. ireland,2,2,2.0,2.0
436,a. m. jouanolle,7,7,7.0,7.0
437,a. m. mcenery,3,3,3.0,3.0
438,a. m. møller,1,1,1.0,1.0
439,a. m. sharaf,3,3,3.0,3.0
440,a. m. stark,1,1,1.0,1.0
441,a. m. watts,4,4,4.0,4.0
442,a. m. weaver,3,3,3.0,3.0
443,a. m. woodward,3,3,3.0,3.0
444,a. m. zwaard,6,6,6.0,6.0
445,a. maciol,2,2,2.0,2.0
446,a. maglara,2,3,2.5,2.5
447,a. mahler,1,1,1.0,1.0
448,a. maier,9,9,9.0,9.0
449,a. majumder,2,2,2.0,2.0
450,a. makroglou,1,1,1.0,1.0
451,a. malpani,2,2,2.0,2.0
452,a. manuel,5,5,5.0,5.0
453,a. marie vans,2,2,2.0,2.0
454,a. marlow henne,2,2,2.0,2.0
455,a. martin wildberger,1,1,1.0,1.0
456,a. martinez,6,6,6.0,6.0
457,a. mason,3,3,3.0,3.0
458,a. massone,4,4,4.0,4.0
459,a. mathew,2,2,2.0,2.0
460,a. matias,2,2,2.0,2.0
461,a. maylar baksho,3,3,3.0,3.0
462,a. maynard engebretson,1,1,1.0,1.0
463,a. mcdonald,4,4,4.0,4.0
464,a. mckenney,3,3,3.0,3.0
465,a. mckinnon,3,3,3.0,3.0
466,a. medahoui,11,11,11.0,11.0
467,a. medepalli,2,2,2.0,2.0
468,a. meisel,4,4,4.0,4.0
469,a. meister,2,2,2.0,2.0
470,a. menard,3,3,3.0,3.0
471,a. mete kabakçioglu,2,2,2.0,2.0
472,a. mete çakmakci,2,2,2.0,2.0
473,a. meyering,6,6,6.0,6.0
474,a. michael ballantyne,1,1,1.0,1.0
475,a. michel,3,3,3.0,3.0
476,a. min tjoa,3,3,3.0,3.0
477,a. mogi,6,6,6.0,6.0
478,a. mohsen,3,3,3.0,3.0
479,a. monadi,2,2,2.0,2.0
480,a. mora,4,4,4.0,4.0
481,a. morgat,8,8,8.0,8.0
482,a. morris,1,1,1.0,1.0
483,a. murat tekalp,2,4,2.9,3.0
484,a. myatt,3,3,3.0,3.0
485,a. méhauté,1,1,1.0,1.0
486,a. müller,3,3,3.0,3.0
487,a. n. chantler,2,2,2.0,2.0
488,a. n. degtev,1,1,1.0,1.0
489,a. n. gupte,2,2,2.0,2.0
490,a. n. herrera-hernandez,3,3,3.0,3.0
491,a. n. staylopatis,3,3,3.0,3.0
492,a. n. zaytsev,2,2,2.0,2.0
493,a. nacaroglu,2,2,2.0,2.0
494,a. naert,6,6,6.0,6.0
495,a. namajunas,2,2,2.0,2.0
496,a. nangia,4,4,4.0,4.0
497,a. narayanan,2,2,2.0,2.0
498,a. naseem,2,2,2.0,2.0
499,a. neil yerkey,1,1,1.0,1.0
500,a. nemirko,3,3,3.0,3.0
501,a. neuenhofer,2,2,2.0,2.0
502,a. ng,2,2,2.0,2.0
503,a. nico habermann,1,1,1.0,1.0
504,a. nicolosi,7,7,7.0,7.0
505,a. norman redlich,1,2,1.5,1.5
506,a. o. farahat,4,4,4.0,4.0
507,a. o. makhanek,4,4,4.0,4.0
508,a. obukhov,3,3,3.0,3.0
509,a. ogiwara,4,6,5.0,5.0
510,a. ogura,6,6,6.0,6.0
511,a. okuda,4,4,4.0,4.0
512,a. orbegozo,2,2,2.0,2.0
513,a. osseyran,2,2,2.0,2.0
514,a. ovalle,2,2,2.0,2.0
515,a. p. a. broeders,2,2,2.0,2.0
516,a. p. armit,1,1,1.0,1.0
517,a. p. casimiro,5,5,5.0,5.0
518,a. p. cherenkov,3,3,3.0,3.0
519,a. p. kryukov,2,4,3.0,3.0
520,a. p. kuchinski,6,6,6.0,6.0
521,a. p. loh,2,2,2.0,2.0
522,a. p. neal,4,4,4.0,4.0
523,a. p. nilov,2,2,2.0,2.0
524,a. p. redfern,4,5,4.3333335,4.0
525,a. p. revitt,1,3,2.0,2.0
526,a. p. robson,2,2,2.0,2.0
527,a. p. shivaprasad,2,2,2.0,2.0
528,a. p. sistla,1,1,1.0,1.0
529,a. p. sprague,3,3,3.0,3.0
530,a. p. thakoor,5,5,5.0,5.0
531,a. p. varga,2,2,2.0,2.0
