,Author Name,Min CoAuthors,max CoAuthors,Average no of CoAuthors,Median CoAuthors
37146,kiran b. chilakamarri,2,2,2.0,2.0
37147,kiran m. rege,2,2,2.0,2.0
37148,kiran r. bhutani,1,1,1.0,1.0
37149,kiran rege,1,1,1.0,1.0
37150,kiran s. challapali,8,8,8.0,8.0
37151,kiran somalwar,4,4,4.0,4.0
37152,kiriakos apostolidis,3,3,3.0,3.0
37153,kiriakos n. kutulakos,2,3,2.5,2.5
37154,kirill vershinin,3,3,3.0,3.0
37155,kirk a. beaty,2,2,2.0,2.0
37156,kirk e. jordan,4,4,4.0,4.0
37157,kirk l. curnutt,2,2,2.0,2.0
37158,kirk l. johnson,5,5,5.0,5.0
37159,kirk lougheed,2,2,2.0,2.0
37160,kirk p. arnett,2,4,3.0,3.0
37161,kirk p. h. sullivan,2,2,2.0,2.0
37162,kirk pruhs,2,5,2.375,2.0
37163,kirk r. karwan,3,5,4.0,4.0
37164,kirk sayre,2,2,2.0,2.0
37165,kirk twardowski,1,1,1.0,1.0
37166,kirsta galloway,6,6,6.0,6.0
37167,kirsten f. laurin-kovitz,3,3,3.0,3.0
37168,kirsten larsen,3,3,3.0,3.0
37169,kirsten m. anttila,2,2,2.0,2.0
37170,kirsten mackenzie,2,2,2.0,2.0
37171,kirsten mark hansen,3,3,3.0,3.0
37172,kirsten meetz,5,5,5.0,5.0
37173,kirstie l. bellman,1,1,1.0,1.0
37174,kirstin cadwell,3,3,3.0,3.0
37175,kirtley b. haden,2,2,2.0,2.0
37176,kisaburo nakazawa,8,8,8.0,8.0
37177,kiseon kim,2,2,2.0,2.0
37178,kish shen,1,2,1.6666666,2.0
37179,kishan g. mehrotra,2,4,3.2,3.0
37180,kishan mehrotra,3,4,3.6,4.0
37181,kishan v. gonugunta,2,2,2.0,2.0
37182,kishor s. trivedi,2,4,2.3448277,2.0
37183,kishore kota,2,2,2.0,2.0
37184,kishore sengupta,2,3,2.5,2.5
37185,kishore sinha,2,2,2.0,2.0
37186,kishore velamakanni,6,6,6.0,6.0
37187,kisu kim,2,2,2.0,2.0
37188,kiswanto thayib,7,7,7.0,7.0
37189,kitae hwang,2,2,2.0,2.0
37190,kitiphol chitsakul,4,4,4.0,4.0
37191,kitty l. holland,1,1,1.0,1.0
37192,kiyasu-zen'iti,3,3,3.0,3.0
37193,kiyoaki aikawa,4,4,4.0,4.0
37194,kiyoaki atsuta,4,4,4.0,4.0
37195,kiyoaki inaba,1,1,1.0,1.0
37196,kiyofumi matsuda,1,1,1.0,1.0
37197,kiyoharu aizawa,4,4,4.0,4.0
37198,kiyoharu hamaguchi,3,4,3.3333333,3.0
37199,kiyohiko kajihara,4,4,4.0,4.0
37200,kiyohiko nakamura,1,1,1.0,1.0
37201,kiyohiko uehara,2,2,2.0,2.0
37202,kiyohiro ikeda,2,2,2.0,2.0
37203,kiyohiro morii,3,3,3.0,3.0
37204,kiyohiro shikano,3,4,3.6,4.0
37205,kiyohisa mizoguchi,4,4,4.0,4.0
37206,kiyokazu sakane,6,6,6.0,6.0
37207,kiyomi kumozaki,1,1,1.0,1.0
37208,kiyomiche araki,3,3,3.0,3.0
37209,kiyoo ito,5,5,5.0,5.0
37210,kiyoshi agusa,2,2,2.0,2.0
37211,kiyoshi asai,3,4,3.6666667,4.0
37212,kiyoshi fujii,4,4,4.0,4.0
37213,kiyoshi furuya,2,2,2.0,2.0
37214,kiyoshi hosono,3,3,3.0,3.0
37215,kiyoshi inoue,6,6,6.0,6.0
37216,kiyoshi itao,4,4,4.0,4.0
37217,kiyoshi itoh,3,4,3.5,3.5
37218,kiyoshi kato,3,3,3.0,3.0
37219,kiyoshi komoriya,2,2,2.0,2.0
37220,kiyoshi maeda,5,5,5.0,5.0
37221,kiyoshi nagai,2,4,3.0,3.0
37222,kiyoshi nakagawa,2,2,2.0,2.0
37223,kiyoshi nishikawa,3,3,3.0,3.0
37224,kiyoshi nishiyama,2,2,2.0,2.0
37225,kiyoshi ohshima,6,6,6.0,6.0
37226,kiyoshi oka,10,10,10.0,10.0
37227,kiyoshi okuno,4,4,4.0,4.0
37228,kiyoshi shibanuma,10,10,10.0,10.0
37229,kiyoshi sugiyama,3,3,3.0,3.0
37230,kiyoshi takamasu,1,1,1.0,1.0
37231,kiyoshi yamabana,4,4,4.0,4.0
37232,kiyotaka hoshiai,3,3,3.0,3.0
37233,kiyotaka miyai,3,3,3.0,3.0
37234,kiyotaka otsuji,2,4,3.0,3.0
37235,kiyoto murakami,3,3,3.0,3.0
37236,kiyoto tanaka,2,2,2.0,2.0
37237,kiyotoshi matsuoka,1,3,1.5,1.0
37238,kiyoyuki yamazaki,3,3,3.0,3.0
37239,kjeld schmidt,1,3,2.0,2.0
37240,kjell age bringsud,2,2,2.0,2.0
37241,kjell brunnström,2,3,2.5,2.5
37242,kjell carlsson,2,2,2.0,2.0
37243,kjell elenius,2,8,4.0,2.0
37244,kjell gustafson,3,4,3.5,3.5
37245,kjell gustafsson,1,1,1.0,1.0
37246,kjell hansson mild,4,4,4.0,4.0
37247,kjell haugset,3,3,3.0,3.0
37248,kjell jørgen hole,1,1,1.0,1.0
37249,kjell o. jeppson,2,3,2.3333333,2.0
37250,kjell post,3,3,3.0,3.0
37251,klaas p. b. oldenkamp,6,6,6.0,6.0
37252,klaas sikkel,1,1,1.0,1.0
37253,klaas van den berg,3,3,3.0,3.0
37254,klaas-jan de langen,3,3,3.0,3.0
37255,klara kedem,2,6,4.0,4.0
37256,klara nahrstedt,2,2,2.0,2.0
37257,klara shroeder,16,16,16.0,16.0
37258,klau s. r. schneider,1,1,1.0,1.0
37259,klaudia dussa-zieger,1,1,1.0,1.0
37260,klaudius j. messner,2,2,2.0,2.0
37261,klaus a. hörmann,3,3,3.0,3.0
37262,klaus a. kuhn,6,6,6.0,6.0
37263,klaus abraham-fuchs,3,3,3.0,3.0
37264,klaus alvermann,3,3,3.0,3.0
37265,klaus ambos-spies,2,3,2.6666667,3.0
37266,klaus arbter,2,3,2.5,2.5
37267,klaus barthelmann,1,2,1.5,1.5
37268,klaus bavendiek,1,1,1.0,1.0
37269,klaus becker 0002,1,1,1.0,1.0
37270,klaus benecke,1,1,1.0,1.0
37271,klaus berger,3,3,3.0,3.0
37272,klaus beutelspacher,2,2,2.0,2.0
37273,klaus brunnstein,1,1,1.0,1.0
37274,klaus buchenrieder,3,4,3.5,3.5
37275,klaus böhm,3,3,3.0,3.0
37276,klaus d. heidtmann,1,1,1.0,1.0
37277,klaus d. müller-glaser,2,4,3.2,3.0
37278,klaus d. niemann,1,1,1.0,1.0
37279,klaus diepold,2,2,2.0,2.0
37280,klaus dieter meyer-gramann,2,2,2.0,2.0
37281,klaus dieter weller,3,3,3.0,3.0
37282,klaus dohmen,1,1,1.0,1.0
37283,klaus däßler,2,6,4.0,4.0
37284,klaus dörnhöfer,1,1,1.0,1.0
37285,klaus e. schauser,3,8,4.714286,4.0
37286,klaus echtle,2,3,2.5,2.5
37287,klaus ecker,2,2,2.0,2.0
37288,klaus estenfeld,4,4,4.0,4.0
37289,klaus fellbaum,2,4,2.6666667,2.0
37290,klaus fischer 0001,1,5,2.3333333,1.0
37291,klaus franke,2,2,2.0,2.0
37292,klaus friedeheim,1,1,1.0,1.0
37293,klaus fuchs,2,2,2.0,2.0
37294,klaus g. saur,1,1,1.0,1.0
37295,klaus g. troitzsch,1,1,1.0,1.0
37296,klaus gaarder,2,2,2.0,2.0
37297,klaus gaedke,3,3,3.0,3.0
37298,klaus garbe,1,1,1.0,1.0
37299,klaus glasmacher,3,3,3.0,3.0
37300,klaus glückert,5,5,5.0,5.0
37301,klaus goos,2,4,3.0,3.0
37302,klaus gotthardt,1,1,1.0,1.0
37303,klaus gottschalk,1,1,1.0,1.0
37304,klaus gresser,1,2,1.3333334,1.0
37305,klaus grieger,2,2,2.0,2.0
37306,klaus grimm,2,2,2.0,2.0
37307,klaus grimmer,1,1,1.0,1.0
37308,klaus groth,1,1,1.0,1.0
37309,klaus gröning,2,2,2.0,2.0
37310,klaus grüger,2,3,2.5,2.5
37311,klaus h. hinrichs,2,3,2.3333333,2.0
37312,klaus hahn,2,2,2.0,2.0
37313,klaus hammer,1,1,1.0,1.0
37314,klaus havelund,2,2,2.0,2.0
37315,klaus heien,3,3,3.0,3.0
37316,klaus heine,1,1,1.0,1.0
37317,klaus helling,1,1,1.0,1.0
37318,klaus helmreich,4,4,4.0,4.0
37319,klaus hobohm,1,1,1.0,1.0
37320,klaus holtz,1,1,1.0,1.0
37321,klaus huber,1,1,1.0,1.0
37322,klaus hug,2,2,2.0,2.0
37323,klaus hülsmann,1,2,1.6666666,2.0
37324,klaus i. itten,2,2,2.0,2.0
37325,klaus j. zink,2,2,2.0,2.0
37326,klaus jansen,1,3,1.375,1.0
37327,klaus joachim seeler,1,1,1.0,1.0
37328,klaus kassner,1,1,1.0,1.0
37329,klaus kirchgässner,1,1,1.0,1.0
37330,klaus kirchmayr,3,3,3.0,3.0
37331,klaus kopecz,4,4,4.0,4.0
37332,klaus kornwachs,1,1,1.0,1.0
37333,klaus kriegel,2,3,2.5,2.5
37334,klaus krüger,1,1,1.0,1.0
37335,klaus kuhn 0001,5,10,7.5,7.5
37336,klaus kunkel,3,3,3.0,3.0
37337,klaus köhler,6,6,6.0,6.0
37338,klaus küspert,1,3,1.8571428,1.0
37339,klaus lagemann,2,2,2.0,2.0
37340,klaus landzettel,4,4,4.0,4.0
37341,klaus lehnert,3,3,3.0,3.0
37342,klaus lenk,1,1,1.0,1.0
37343,klaus lenßen,3,6,4.6666665,5.0
37344,klaus lott,1,2,1.5,1.5
37345,klaus lukas,2,2,2.0,2.0
37346,klaus m. schmidt,1,1,1.0,1.0
37347,klaus madlener,2,4,2.8333333,3.0
37348,klaus manhart,1,1,1.0,1.0
37349,klaus mayr,1,1,1.0,1.0
37350,klaus meer,1,1,1.0,1.0
37351,klaus meißner,1,1,1.0,1.0
37352,klaus metsch,1,2,1.5,1.5
37353,klaus meyer-wegener,1,8,4.0,3.0
37354,klaus milzner,1,1,1.0,1.0
37355,klaus mindel,1,1,1.0,1.0
37356,klaus moth,3,3,3.0,3.0
37357,klaus müller,3,3,3.0,3.0
37358,klaus netter,5,5,5.0,5.0
37359,klaus nökel,1,2,1.5,1.5
37360,klaus nützel,1,1,1.0,1.0
37361,klaus obermayer,3,3,3.0,3.0
37362,klaus p. jantke,1,4,2.875,3.0
37363,klaus p. schmidt,3,3,3.0,3.0
37364,klaus page,2,2,2.0,2.0
37365,klaus pawelzik,2,3,2.5,2.5
37366,klaus peithner,3,3,3.0,3.0
37367,klaus peter kratzer,1,1,1.0,1.0
37368,klaus pohl,1,17,4.8,2.0
37369,klaus r. dittrich,1,6,2.5294117999999997,2.0
37370,klaus radermacher 0002,1,5,3.0,3.0
37371,klaus reinhardt,3,3,3.0,3.0
37372,klaus reitsam,2,2,2.0,2.0
37373,klaus reuter,1,1,1.0,1.0
37374,klaus richter,1,1,1.0,1.0
37375,klaus ritter 0001,2,3,2.5,2.5
37376,klaus runge,9,9,9.0,9.0
37377,klaus sandbiller,5,5,5.0,5.0
37378,klaus sauer,2,2,2.0,2.0
37379,klaus schild,1,1,1.0,1.0
37380,klaus schilling,4,4,4.0,4.0
37381,klaus schneider 0001,3,3,3.0,3.0
37382,klaus schneider-danwitz,1,1,1.0,1.0
37383,klaus schröer,2,2,2.0,2.0
37384,klaus schubert,1,1,1.0,1.0
37385,klaus schulten,1,7,3.0,3.0
37386,klaus schwab,1,1,1.0,1.0
37387,klaus schwager,1,1,1.0,1.0
37388,klaus seidel,2,2,2.0,2.0
37389,klaus semmler,3,3,3.0,3.0
37390,klaus simon,1,3,2.0,2.0
37391,klaus stieger,1,1,1.0,1.0
37392,klaus strack,2,2,2.0,2.0
37393,klaus stüben,8,8,8.0,8.0
37394,klaus sutner,1,4,2.6666667,3.0
37395,klaus szymanski,4,5,4.5,4.5
37396,klaus süllow,5,5,5.0,5.0
37397,klaus tammer,2,3,2.5,2.5
37398,klaus tappe,1,1,1.0,1.0
37399,klaus ten hagen,2,2,2.0,2.0
37400,klaus tochtermann,2,2,2.0,2.0
37401,klaus u. schulz,1,2,1.6666666,2.0
37402,klaus ullmann,1,1,1.0,1.0
37403,klaus vedder,1,1,1.0,1.0
37404,klaus voss,2,2,2.0,2.0
37405,klaus w. wagner,1,5,2.6,2.0
37406,klaus waldschmidt,1,2,1.8333334,2.0
37407,klaus weihrauch,1,2,1.25,1.0
37408,klaus weinzierl,2,2,2.0,2.0
37409,klaus werner wirtz,1,1,1.0,1.0
37410,klaus winkelmann,1,2,1.5,1.5
37411,klaus witulski,1,1,1.0,1.0
37412,klaus wolf,1,1,1.0,1.0
37413,klaus wothke,1,1,1.0,1.0
37414,klaus zeppenfeld,1,4,2.0,1.0
37415,klaus zünkler,1,5,2.25,1.5
37416,klaus-dieter althoff,2,4,2.75,2.5
37417,klaus-dieter herrmann,1,1,1.0,1.0
37418,klaus-dieter kuhnert,1,1,1.0,1.0
37419,klaus-dieter müller-glaser,3,3,3.0,3.0
37420,klaus-dieter ruelberg,1,1,1.0,1.0
37421,klaus-dieter schewe,2,3,2.8,3.0
37422,klaus-dieter thoben,2,2,2.0,2.0
37423,klaus-dietrich kniffki,4,4,4.0,4.0
37424,klaus-dirk schmitz,1,1,1.0,1.0
37425,klaus-helmut schmidt,2,2,2.0,2.0
37426,klaus-henning hansen,1,1,1.0,1.0
37427,klaus-jörn lange,1,4,2.5,2.0
37428,klaus-jürgen quast,1,1,1.0,1.0
37429,klaus-jürgen schulz,1,2,1.3333334,1.0
37430,klaus-peter adlassnig,1,4,2.5,2.5
37431,klaus-peter aupperle,2,2,2.0,2.0
37432,klaus-peter fähnrich,1,3,2.0,2.0
37433,klaus-peter gärtner,3,5,4.0,4.0
37434,klaus-peter hasler,6,6,6.0,6.0
37435,klaus-peter holzhausen,3,5,4.0,4.0
37436,klaus-peter kröhn,1,1,1.0,1.0
37437,klaus-peter löhr,1,6,2.5,1.5
37438,klaus-peter muthig,2,3,2.5,2.5
37439,klaus-peter schulz,1,3,2.25,2.5
37440,klaus-robert müller,3,3,3.0,3.0
37441,klaus-uwe höffgen,1,4,2.0,1.0
37442,klaus-uwe koschnick,1,2,1.3333334,1.0
37443,klaus-werner jörg,3,3,3.0,3.0
37444,kleanthis psarris,2,3,2.6666667,3.0
37445,klemens böhm,2,3,2.5,2.5
37446,klára vicsi,1,2,1.5,1.5
37447,knud erik skouby,3,3,3.0,3.0
37448,knud steven knudsen,2,2,2.0,2.0
37449,knut braatane,1,1,1.0,1.0
37450,knut caesar,2,2,2.0,2.0
37451,knut conradsen,5,5,5.0,5.0
37452,knut hildebrand,1,1,1.0,1.0
37453,knut hinkelmann,2,3,2.3333333,2.0
37454,knut hüper,3,3,3.0,3.0
37455,knut koschatzky,1,2,1.5,1.5
37456,knut menzel,2,2,2.0,2.0
37457,knut möller,1,2,1.6666666,2.0
37458,knut pitschke,2,3,2.5,2.5
37459,knut verbarg,1,1,1.0,1.0
37460,knuth stener grimsrud,3,5,4.0,4.0
37461,ko besuijen,3,3,3.0,3.0
37462,ko de ruyter,2,2,2.0,2.0
37463,ko yoshikawa,6,6,6.0,6.0
37464,ko-en chao,3,3,3.0,3.0
37465,ko-wei lih,1,2,1.5,1.5
37466,ko-yang wang,1,1,1.0,1.0
37467,koen bertels,3,3,3.0,3.0
37468,koen de bosschere,2,3,2.3333333,2.0
37469,koen de hondt,6,6,6.0,6.0
37470,koen langendoen,1,10,3.3333333,2.0
37471,koen swings,2,2,2.0,2.0
37472,koen versmissen,1,1,1.0,1.0
37473,koenraad audenaert,2,5,3.3333333,3.0
37474,koenraad de bosschere,1,3,2.0,2.0
37475,koenraad de smedt,3,4,3.5,3.5
37476,koh hosoda,2,4,3.0,3.0
37477,koh kamizawa,4,4,4.0,4.0
37478,koh mui koong,6,6,6.0,6.0
37479,kohbun umetani,4,4,4.0,4.0
37480,kohei honda,1,2,1.8333334,2.0
37481,kohei shiomoto,2,2,2.0,2.0
37482,kohichi sakaniwa,3,3,3.0,3.0
37483,kohji kamejima,2,3,2.5,2.5
37484,kohkichi tsuji,2,3,2.6666667,3.0
37485,kohshi okumura,2,2,2.0,2.0
37486,kohshiroh shutoh,4,4,4.0,4.0
37487,kohtaro hosoda,3,4,3.5,3.5
37488,koichi asakura,3,3,3.0,3.0
37489,koichi ejiri,2,2,2.0,2.0
37490,koichi fujimoto,3,3,3.0,3.0
37491,koichi funaya,2,2,2.0,2.0
37492,koichi furukawa,1,9,2.875,2.0
37493,koichi harada,6,6,6.0,6.0
37494,koichi hasebe,4,4,4.0,4.0
37495,koichi hashimoto,4,4,4.0,4.0
37496,koichi hayashi,2,2,2.0,2.0
37497,koichi hirota,2,2,2.0,2.0
37498,koichi homma,3,3,3.0,3.0
37499,koichi hori,3,3,3.0,3.0
37500,koichi ishibuchi,3,3,3.0,3.0
37501,koichi itoh,2,2,2.0,2.0
37502,koichi kaneko,5,5,5.0,5.0
37503,koichi kise,4,4,4.0,4.0
37504,koichi kondo,1,1,1.0,1.0
37505,koichi koyano,4,4,4.0,4.0
37506,koichi nomura,4,4,4.0,4.0
37507,koichi nozaki,3,3,3.0,3.0
37508,koichi ogawa,3,3,3.0,3.0
37509,koichi ohtomi,2,2,2.0,2.0
37510,koichi osuka,3,3,3.0,3.0
37511,koichi ozaki,6,7,6.3333335,6.0
37512,koichi saito,4,4,4.0,4.0
37513,koichi sano,4,4,4.0,4.0
37514,koichi sasakawa,3,3,3.0,3.0
37515,koichi sekiguchi,4,4,4.0,4.0
37516,koichi suda,3,5,4.0,4.0
37517,koichi sugimoto,2,2,2.0,2.0
37518,koichi suzumori,1,3,2.3333333,3.0
37519,koichi tabata,4,4,4.0,4.0
37520,koichi takeda 0002,1,1,1.0,1.0
37521,koichi takeuchi,4,4,4.0,4.0
37522,koichi tanaka,4,4,4.0,4.0
37523,koichi tezuka,3,3,3.0,3.0
37524,koichi wada,2,2,2.0,2.0
37525,koichi yamada,6,6,6.0,6.0
37526,koichi yamano,2,2,2.0,2.0
37527,koichi yamashita,3,3,3.0,3.0
37528,koichi yamazaki,1,2,1.5,1.5
37529,koichi yasuoka,3,3,3.0,3.0
37530,koichi yoshida,3,3,3.0,3.0
37531,koichiro deguchi,1,3,2.0,2.0
37532,koichiro miyagi,3,3,3.0,3.0
37533,koichiro takamizawa,3,3,3.0,3.0
37534,koichiro tamura,1,1,1.0,1.0
37535,koichiro tanikoshi,3,3,3.0,3.0
37536,koji fukatani,8,8,8.0,8.0
37537,koji hakata,3,3,3.0,3.0
37538,koji hattori,4,4,4.0,4.0
37539,koji ide,4,4,4.0,4.0
37540,koji ikuta,1,3,2.0,2.0
37541,koji imai,4,4,4.0,4.0
37542,koji ito,1,4,3.125,3.0
37543,koji kajimura,1,1,1.0,1.0
37544,koji kakuyama,3,3,3.0,3.0
37545,koji karube,4,4,4.0,4.0
37546,koji kato,3,3,3.0,3.0
37547,koji kobayashi,1,1,1.0,1.0
37548,koji komatsu,1,1,1.0,1.0
37549,koji kotani,6,6,6.0,6.0
37550,koji koyamada,2,2,2.0,2.0
37551,koji miyajima,3,3,3.0,3.0
37552,koji morikawa,4,4,4.0,4.0
37553,koji nakajima,2,2,2.0,2.0
37554,koji nakano,1,5,3.0,3.0
37555,koji okada,5,5,5.0,5.0
37556,koji okuda,5,6,5.3333335,5.0
37557,koji sato,4,4,4.0,4.0
37558,koji shimojima,4,4,4.0,4.0
37559,koji takeda,3,3,3.0,3.0
37560,koji tarora,3,3,3.0,3.0
37561,koji tochinai,3,4,3.3333333,3.0
37562,koji torii,1,4,3.090909,3.0
37563,koji wakimoto,4,4,4.0,4.0
37564,koji yamada,4,4,4.0,4.0
37565,koji yamaguchi,4,4,4.0,4.0
37566,koji yamazaki,2,2,2.0,2.0
37567,koji yoshida,5,5,5.0,5.0
37568,kojiro kobayashi,1,1,1.0,1.0
37569,kojiro oka,3,3,3.0,3.0
37570,kok cheong wong,2,3,2.5,2.5
37571,kok k. sin,3,3,3.0,3.0
37572,kok lay teo,3,3,3.0,3.0
37573,kok-choon tan,2,2,2.0,2.0
37574,kok-hoo yeap,2,2,2.0,2.0
37575,kok-meng lee,2,2,2.0,2.0
37576,kok-phuang tan,2,3,2.5,2.5
37577,kok-wee gan,1,2,1.6666666,2.0
37578,koki abe,3,3,3.0,3.0
37579,kokichi futatsugi,2,3,2.5,2.5
37580,kokichi sugihara,1,3,1.6666666,1.0
37581,kokou yétongnon,6,6,6.0,6.0
37582,kolumban hutter,1,1,1.0,1.0
37583,komei fukuda,2,4,2.7142856,3.0
37584,kon max wong,2,3,2.75,3.0
37585,kon mouzakis,2,2,2.0,2.0
37586,kong kritayakirana,10,10,10.0,10.0
37587,kong-yee pun,3,3,3.0,3.0
37588,konrad behnen,2,2,2.0,2.0
37589,konrad doll,3,3,3.0,3.0
37590,konrad froitzheim,2,2,2.0,2.0
37591,konrad j. heuvers,2,2,2.0,2.0
37592,konrad jablonski,2,2,2.0,2.0
37593,konrad klöckner,1,1,1.0,1.0
37594,konrad lei,2,2,2.0,2.0
37595,konrad morgan,7,7,7.0,7.0
37596,konrad polthier,2,2,2.0,2.0
37597,konrad slind,1,1,1.0,1.0
37598,konrad sünderhaft,2,2,2.0,2.0
37599,konrad tollmar,1,1,1.0,1.0
37600,konrad weigl,2,2,2.0,2.0
37601,konrad zuse,1,1,1.0,1.0
37602,konrad zürl,3,3,3.0,3.0
37603,konstantin b. konstantinov,2,2,2.0,2.0
37604,konstantin keutner,1,1,1.0,1.0
37605,konstantin läufer,2,2,2.0,2.0
37606,konstantin n. ignatiev,1,1,1.0,1.0
37607,konstantin othmer,3,3,3.0,3.0
37608,konstantin p. gajkovich,5,5,5.0,5.0
37609,konstantin v. shvachko,1,1,1.0,1.0
37610,konstantinos a. tarabanis,2,3,2.5,2.5
37611,konstantinos daniilidis,1,2,1.5,1.5
37612,konstantinos f. sagonas,3,3,3.0,3.0
37613,konstantinos g. margaritis,2,2,2.0,2.0
37614,konstantinos g. zografos,2,4,3.0,3.0
37615,konstantinos i. diamantaras,2,2,2.0,2.0
37616,konstantinos j. kyriakopoulos,2,4,3.0,3.0
37617,konstantinos kapellos,3,4,3.5,3.5
37618,konstantinos konstantinides,1,3,1.6666666,1.0
37619,konstantinos m. vlakos,3,5,3.75,3.5
37620,konstantinos paparrizos,1,1,1.0,1.0
37621,konstantinos petropoulos,3,3,3.0,3.0
37622,konstantinos stathatos,4,4,4.0,4.0
37623,kooichi hirose,2,2,2.0,2.0
37624,koon-yu fok,2,2,2.0,2.0
37625,koong h. c. lin,2,2,2.0,2.0
37626,koosuke fujimoto,3,3,3.0,3.0
37627,koral ilgun,1,1,1.0,1.0
37628,koray öner,2,2,2.0,2.0
37629,kornelia welz,2,2,2.0,2.0
37630,kosaburo hashiguchi,1,2,1.25,1.0
37631,kosei kitagaki,2,5,3.3333333,3.0
37632,kosei yamamoto,6,6,6.0,6.0
37633,kosta dosen,1,1,1.0,1.0
37634,kostas berberidis,2,2,2.0,2.0
37635,kostas blathras,2,2,2.0,2.0
37636,kostas d. tsirikolias,2,2,2.0,2.0
37637,kostas daniilidis,3,3,3.0,3.0
37638,kostas hatzikiriakou,1,1,1.0,1.0
37639,kostas i. diamantaras,2,2,2.0,2.0
37640,kostas j. kyriakopoulos,2,3,2.3333333,2.0
37641,kostas kontogiannis,1,5,3.3333333,4.0
37642,kostas lyritzis,2,2,2.0,2.0
37643,kostas n. oikonomou,1,1,1.0,1.0
37644,kostas p. vassiliadis,3,3,3.0,3.0
37645,kostas tzeras,1,6,2.75,2.0
37646,kosuke ishii,2,3,2.5,2.5
37647,kosuke okada,10,10,10.0,10.0
37648,kosuke sato,2,7,4.5,4.5
37649,kosuke tatsukawa,1,1,1.0,1.0
37650,kotagiri ramamohanarao,1,7,3.3,2.0
37651,kotaro katsuyama,4,4,4.0,4.0
37652,kotaro nakamura,2,2,2.0,2.0
37653,kotaro oiwa,4,4,4.0,4.0
37654,kotaro saito,3,3,3.0,3.0
37655,kotikalapudi sriram,1,3,2.0,2.0
37656,kou-hu tzou,1,3,2.3333333,3.0
37657,kouadio etienne n'guessan,1,1,1.0,1.0
37658,kouamana bousson,2,2,2.0,2.0
37659,kouhei ohnishi,3,3,3.0,3.0
37660,kouichi hirata,1,1,1.0,1.0
37661,kouichi kawabe,3,3,3.0,3.0
37662,kouichi kishida,1,6,2.6666667,1.0
37663,kouichi kogure,6,6,6.0,6.0
37664,kouichi kojima,4,4,4.0,4.0
37665,kouichi kurokawa,5,5,5.0,5.0
37666,kouichi murakami,2,2,2.0,2.0
37667,kouichi mutsuura,5,5,5.0,5.0
37668,kouichi sakurai,2,3,2.6,3.0
37669,kouichi suzuki,7,7,7.0,7.0
37670,kouichi taji,3,3,3.0,3.0
37671,kouichi takemura,5,5,5.0,5.0
37672,kouichi teraya,2,2,2.0,2.0
37673,kouichi utsumiya,6,6,6.0,6.0
37674,kouichi yamaguchi,1,8,4.3333335,4.0
37675,kouichi yasutake,4,4,4.0,4.0
37676,kouichiro yamada,5,5,5.0,5.0
37677,kouji akasaka,1,1,1.0,1.0
37678,kouji ikeda,4,4,4.0,4.0
37679,kouji tomita,4,4,4.0,4.0
37680,kouki nakanishi,3,3,3.0,3.0
37681,kouki takeda,4,4,4.0,4.0
37682,kourosh danai,2,2,2.0,2.0
37683,kourosh gharachorloo,2,5,3.2,3.0
37684,kourosh pahlavan,3,3,3.0,3.0
37685,kourosh van pahla,2,2,2.0,2.0
37686,koushi anzai,3,3,3.0,3.0
37687,koushik basu,4,4,4.0,4.0
37688,kousuke sekiyama,4,4,4.0,4.0
37689,kouta fujimura,3,3,3.0,3.0
37690,kouu kagekawa,4,4,4.0,4.0
37691,kow c. chang,1,4,2.5,2.5
37692,kozo fujimoto,3,5,4.0,4.0
37693,kozo kato,4,4,4.0,4.0
37694,kozo kinoshita,3,4,3.3333333,3.0
37695,kozo kitamura,6,6,6.0,6.0
37696,kozo oi,7,7,7.0,7.0
37697,kozo okano,4,4,4.0,4.0
37698,kozo okazaki,6,6,6.0,6.0
37699,kozo sugiyama,1,2,1.5,1.5
37700,kraig meyer,7,7,7.0,7.0
37701,krassimir t. atanassov,3,3,3.0,3.0
37702,krassimir todorov,5,5,5.0,5.0
37703,kris coolsaet,3,3,3.0,3.0
37704,kris dockx,2,2,2.0,2.0
37705,kris holmes,2,2,2.0,2.0
37706,kris j. luczynski,3,3,3.0,3.0
37707,kris jensen,2,2,2.0,2.0
37708,kris sikorski,2,2,2.0,2.0
37709,kris van hees,1,1,1.0,1.0
37710,krishan k. sabnani,2,5,3.8333333,4.0
37711,krishan rana,2,2,2.0,2.0
37712,krishna b. athreya,1,1,1.0,1.0
37713,krishna bala,3,3,3.0,3.0
37714,krishna bharat,2,2,2.0,2.0
37715,krishna c. gupta,2,2,2.0,2.0
37716,krishna g. kulkarni,3,5,4.0,4.0
37717,krishna harathi,2,2,2.0,2.0
37718,krishna kant,2,6,3.3333333,2.0
37719,krishna kumar,3,3,3.0,3.0
37720,krishna lata varkur,2,2,2.0,2.0
37721,krishna m. kavi,2,4,3.0,3.0
37722,krishna m. sivalingam,2,3,2.6666667,3.0
37723,krishna p. belkhale,2,3,2.3333333,2.0
37724,krishna r. pattipati,3,5,3.3636362999999996,3.0
37725,krishna s. nathan,1,4,2.6666667,3.0
37726,krishna v. palem,2,5,3.1666667,3.0
37727,krishna yarlagadda,2,2,2.0,2.0
37728,krishnaiyan thulasiraman,2,4,3.4285714999999994,4.0
37729,krishnakumar r. nair,3,3,3.0,3.0
37730,krishnamurthi venkatraman,3,3,3.0,3.0
37731,krishnamurthy meenakshi,4,4,4.0,4.0
